Object,IncorCorefEval_file1,IncorCorefEval_file2,IncorCorefEval_improvement,IncorCorefEval_percentage_improvement,IncomCorefEval_file1,IncomCorefEval_file2,IncomCorefEval_improvement,IncomCorefEval_percentage_improvement,IncomDiscoEval_file1,IncomDiscoEval_file2,IncomDiscoEval_improvement,IncomDiscoEval_percentage_improvement,SentiBias_file1,SentiBias_file2,SentiBias_improvement,SentiBias_percentage_improvement,ExtEval_file1,ExtEval_file2,ExtEval_improvement,ExtEval_percentage_improvement
15_mi_unsup,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0907306108002861,0.04497830352435517,0.04575230727593094,50.42653948030807,1.090730610800286,0.04497830352435517,1.045752307275931,95.8763141806982
15_neusumm,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.1564892919734121,0.220421261774997,-0.06393196980158489,-40.853894215616414,1.1564892919734122,0.220421261774997,0.9360680301984152,80.94048398849641
15_oracle,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.2423883867139618,0.2423379909868042,5.0395727157592773e-05,0.02079131258753905,0.2423883867139618,0.2423379909868042,5.0395727157592773e-05,0.02079131258753905
15_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.7289982228850325,0.24223566570629673,0.48676255717873573,66.77143261781329,2.7289982228850325,0.24223566570629673,2.4867625571787357,91.12364150057192
152_oracle_disco,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.35072054023005284,0.07864546829916752,0.2720750719308853,77.57603012142359,1.3507205402300528,1.0786454682991675,0.2720750719308853,20.14295806033614
154_bert_lstm_pn_rl,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.30043748761950567,0.0992944753220813,0.20114301229742437,66.95003805655753,0.30043748761950567,0.0992944753220813,0.20114301229742437,66.95003805655753
154_heter_graph,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.28294395651160315,0.11386243249713018,0.16908152401447296,59.7579556386599,0.28294395651160315,0.11386243249713018,0.16908152401447296,59.7579556386599
154_oracle,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.2975575699978931,0.054803527849303035,0.2427540421485901,81.58221017543225,0.2975575699978931,0.054803527849303035,0.2427540421485901,81.58221017543225
154_oracle_disco,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.1423820176895595,0.2049953862601383,-0.06261336857057881,-43.97561545103043,1.1423820176895596,0.2049953862601383,0.9373866314294212,82.05544353063814
154_textrank_st,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.06312508073593065,0.09843712388961151,-0.03531204315368086,-55.93979879629893,0.06312508073593065,0.09843712388961151,-0.03531204315368086,-55.93979879629893
155_oracle_disco,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.14738146952877287,0.1110486701130867,0.03633279941568618,24.6522168165741,1.147381469528773,0.1110486701130867,1.0363327994156863,90.32155625114862
157_banditsumm,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.13362150265727124,0.12942579067575505,0.0041957119815161925,3.1399976037373767,1.1336215026572711,0.12942579067575505,1.0041957119815161,88.58298026524956
157_heter_graph,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.17998102308359065,0.5072157643631466,-0.327234741279556,-181.81624688708132,1.1799810230835908,0.5072157643631466,0.6727652587204441,57.01492189784012
